t,app,alert_window,model,TP,FN,FP,F1
6,app0,1,M1-00,1,17,8,0.074
6,app0,1,M1-01,1,17,5,0.083
6,app0,1,M1-02,4,14,6,0.286
6,app0,1,M1-03,1,17,4,0.087
6,app0,1,M1-04,2,16,7,0.148
6,app0,1,M1-05,1,17,5,0.083
6,app0,1,M1-06,0,18,8,0.0
6,app0,1,M1-07,2,16,7,0.148
6,app0,1,M1-08,1,17,5,0.083
6,app0,1,M1-09,1,17,6,0.08
6,app0,3,M1-00,2,16,6,0.154
6,app0,3,M1-01,1,17,4,0.087
6,app0,3,M1-02,4,14,6,0.286
6,app0,3,M1-03,1,17,3,0.091
6,app0,3,M1-04,2,16,6,0.154
6,app0,3,M1-05,1,17,5,0.083
6,app0,3,M1-06,1,17,6,0.08
6,app0,3,M1-07,2,16,6,0.154
6,app0,3,M1-08,1,17,4,0.087
6,app0,3,M1-09,1,17,5,0.083
6,app0,6,M1-00,2,16,5,0.16
6,app0,6,M1-01,1,17,4,0.087
6,app0,6,M1-02,4,14,5,0.296
6,app0,6,M1-03,1,17,3,0.091
6,app0,6,M1-04,2,16,6,0.154
6,app0,6,M1-05,1,17,4,0.087
6,app0,6,M1-06,2,16,4,0.167
6,app0,6,M1-07,2,16,5,0.16
6,app0,6,M1-08,1,17,4,0.087
6,app0,6,M1-09,1,17,4,0.087
6,app0,9,M1-00,2,16,5,0.16
6,app0,9,M1-01,2,16,3,0.174
6,app0,9,M1-02,4,14,4,0.308
6,app0,9,M1-03,2,16,2,0.182
6,app0,9,M1-04,3,15,5,0.231
6,app0,9,M1-05,1,17,4,0.087
6,app0,9,M1-06,3,15,3,0.25
6,app0,9,M1-07,3,15,4,0.24
6,app0,9,M1-08,2,16,3,0.174
6,app0,9,M1-09,2,16,3,0.174
6,app0,12,M1-00,2,16,5,0.16
6,app0,12,M1-01,2,16,3,0.174
6,app0,12,M1-02,5,13,3,0.385
6,app0,12,M1-03,2,16,2,0.182
6,app0,12,M1-04,3,15,4,0.24
6,app0,12,M1-05,1,17,4,0.087
6,app0,12,M1-06,3,15,3,0.25
6,app0,12,M1-07,3,15,4,0.24
6,app0,12,M1-08,2,16,3,0.174
6,app0,12,M1-09,2,16,3,0.174
6,app0,24,M1-00,5,13,1,0.417
6,app0,24,M1-01,3,15,1,0.273
6,app0,24,M1-02,5,13,2,0.4
6,app0,24,M1-03,3,15,1,0.273
6,app0,24,M1-04,5,13,1,0.417
6,app0,24,M1-05,3,15,1,0.273
6,app0,24,M1-06,4,14,1,0.348
6,app0,24,M1-07,5,13,1,0.417
6,app0,24,M1-08,4,14,1,0.348
6,app0,24,M1-09,3,15,1,0.273
6,app0,72,M1-00,5,13,0,0.435
6,app0,72,M1-01,3,15,0,0.286
6,app0,72,M1-02,5,13,1,0.417
6,app0,72,M1-03,3,15,0,0.286
6,app0,72,M1-04,5,13,0,0.435
6,app0,72,M1-05,3,15,0,0.286
6,app0,72,M1-06,4,14,0,0.364
6,app0,72,M1-07,5,13,0,0.435
6,app0,72,M1-08,4,14,0,0.364
6,app0,72,M1-09,3,15,0,0.286
6,app1,1,M1-00,1,17,8,0.074
6,app1,1,M1-01,1,17,5,0.083
6,app1,1,M1-02,4,14,6,0.286
6,app1,1,M1-03,1,17,4,0.087
6,app1,1,M1-04,2,16,7,0.148
6,app1,1,M1-05,1,17,5,0.083
6,app1,1,M1-06,0,18,8,0.0
6,app1,1,M1-07,2,16,7,0.148
6,app1,1,M1-08,1,17,5,0.083
6,app1,1,M1-09,1,17,6,0.08
6,app1,3,M1-00,2,16,5,0.16
6,app1,3,M1-01,1,17,4,0.087
6,app1,3,M1-02,4,14,6,0.286
6,app1,3,M1-03,1,17,3,0.091
6,app1,3,M1-04,2,16,6,0.154
6,app1,3,M1-05,1,17,4,0.087
6,app1,3,M1-06,1,17,6,0.08
6,app1,3,M1-07,2,16,6,0.154
6,app1,3,M1-08,1,17,4,0.087
6,app1,3,M1-09,1,17,5,0.083
6,app1,6,M1-00,2,16,4,0.167
6,app1,6,M1-01,1,17,4,0.087
6,app1,6,M1-02,4,14,3,0.32
6,app1,6,M1-03,1,17,3,0.091
6,app1,6,M1-04,2,16,6,0.154
6,app1,6,M1-05,1,17,3,0.091
6,app1,6,M1-06,2,16,3,0.174
6,app1,6,M1-07,2,16,5,0.16
6,app1,6,M1-08,1,17,4,0.087
6,app1,6,M1-09,1,17,4,0.087
6,app1,9,M1-00,3,15,3,0.25
6,app1,9,M1-01,2,16,3,0.174
6,app1,9,M1-02,4,14,2,0.333
6,app1,9,M1-03,2,16,2,0.182
6,app1,9,M1-04,3,15,5,0.231
6,app1,9,M1-05,1,17,3,0.091
6,app1,9,M1-06,3,15,2,0.261
6,app1,9,M1-07,3,15,3,0.25
6,app1,9,M1-08,2,16,3,0.174
6,app1,9,M1-09,2,16,2,0.182
6,app1,12,M1-00,3,15,3,0.25
6,app1,12,M1-01,2,16,1,0.19
6,app1,12,M1-02,5,13,1,0.417
6,app1,12,M1-03,2,16,1,0.19
6,app1,12,M1-04,4,14,3,0.32
6,app1,12,M1-05,1,17,3,0.091
6,app1,12,M1-06,3,15,1,0.273
6,app1,12,M1-07,3,15,3,0.25
6,app1,12,M1-08,2,16,2,0.182
6,app1,12,M1-09,2,16,1,0.19
6,app1,24,M1-00,5,13,0,0.435
6,app1,24,M1-01,3,15,0,0.286
6,app1,24,M1-02,5,13,1,0.417
6,app1,24,M1-03,3,15,0,0.286
6,app1,24,M1-04,5,13,0,0.435
6,app1,24,M1-05,3,15,0,0.286
6,app1,24,M1-06,4,14,0,0.364
6,app1,24,M1-07,5,13,0,0.435
6,app1,24,M1-08,4,14,0,0.364
6,app1,24,M1-09,3,15,0,0.286
6,app1,72,M1-00,5,13,0,0.435
6,app1,72,M1-01,3,15,0,0.286
6,app1,72,M1-02,5,13,1,0.417
6,app1,72,M1-03,3,15,0,0.286
6,app1,72,M1-04,5,13,0,0.435
6,app1,72,M1-05,3,15,0,0.286
6,app1,72,M1-06,4,14,0,0.364
6,app1,72,M1-07,5,13,0,0.435
6,app1,72,M1-08,4,14,0,0.364
6,app1,72,M1-09,3,15,0,0.286
6,app2,1,M1-00,15,3,8,0.732
6,app2,1,M1-01,14,4,7,0.718
6,app2,1,M1-02,15,3,6,0.769
6,app2,1,M1-03,14,4,7,0.718
6,app2,1,M1-04,15,3,8,0.732
6,app2,1,M1-05,13,5,8,0.667
6,app2,1,M1-06,15,3,8,0.732
6,app2,1,M1-07,15,3,7,0.75
6,app2,1,M1-08,15,3,6,0.769
6,app2,1,M1-09,15,3,6,0.769
6,app2,3,M1-00,15,3,6,0.769
6,app2,3,M1-01,14,4,7,0.718
6,app2,3,M1-02,15,3,6,0.769
6,app2,3,M1-03,14,4,7,0.718
6,app2,3,M1-04,15,3,8,0.732
6,app2,3,M1-05,13,5,7,0.684
6,app2,3,M1-06,15,3,7,0.75
6,app2,3,M1-07,15,3,7,0.75
6,app2,3,M1-08,15,3,6,0.769
6,app2,3,M1-09,15,3,6,0.769
6,app2,6,M1-00,15,3,6,0.769
6,app2,6,M1-01,14,4,7,0.718
6,app2,6,M1-02,15,3,4,0.811
6,app2,6,M1-03,14,4,7,0.718
6,app2,6,M1-04,15,3,7,0.75
6,app2,6,M1-05,13,5,7,0.684
6,app2,6,M1-06,16,2,4,0.842
6,app2,6,M1-07,15,3,7,0.75
6,app2,6,M1-08,15,3,6,0.769
6,app2,6,M1-09,15,3,6,0.769
6,app2,9,M1-00,15,3,5,0.789
6,app2,9,M1-01,14,4,6,0.737
6,app2,9,M1-02,15,3,3,0.833
6,app2,9,M1-03,14,4,6,0.737
6,app2,9,M1-04,15,3,7,0.75
6,app2,9,M1-05,13,5,7,0.684
6,app2,9,M1-06,16,2,3,0.865
6,app2,9,M1-07,15,3,5,0.789
6,app2,9,M1-08,15,3,5,0.789
6,app2,9,M1-09,15,3,4,0.811
6,app2,12,M1-00,15,3,5,0.789
6,app2,12,M1-01,14,4,4,0.778
6,app2,12,M1-02,15,3,2,0.857
6,app2,12,M1-03,14,4,5,0.757
6,app2,12,M1-04,15,3,5,0.789
6,app2,12,M1-05,13,5,7,0.684
6,app2,12,M1-06,16,2,2,0.889
6,app2,12,M1-07,15,3,5,0.789
6,app2,12,M1-08,15,3,4,0.811
6,app2,12,M1-09,15,3,3,0.833
6,app2,24,M1-00,15,3,2,0.857
6,app2,24,M1-01,14,4,3,0.8
6,app2,24,M1-02,15,3,2,0.857
6,app2,24,M1-03,14,4,4,0.778
6,app2,24,M1-04,15,3,2,0.857
6,app2,24,M1-05,13,5,4,0.743
6,app2,24,M1-06,16,2,1,0.914
6,app2,24,M1-07,15,3,2,0.857
6,app2,24,M1-08,15,3,2,0.857
