t,dataset,Average MAE,SE Average MAE (seeds),Average PE,SE Average PE (seeds),Average O2P lag,SE Average O2P lag (seeds),Average O2T lag,SE Average O2T lag (seeds),Average ln10 lag,SE Average ln10 lag (seeds)
6,0,0.344,0.003,0.595,0.007,4.811,0.115,3.794,0.113,-2.133,0.341
6,1,0.296,0.005,0.855,0.004,4.644,0.227,3.8,0.125,4.111,0.278
6,2,0.503,0.007,-0.166,0.015,5.44,0.141,4.96,0.109,2.1,1.407
6,3,0.472,0.009,0.608,0.012,3.92,0.165,3.52,0.17,2.72,0.428
6,4,0.948,0.013,0.384,0.01,4.043,0.167,2.814,0.136,2.386,0.467
6,5,0.462,0.005,0.581,0.005,5.245,0.14,3.727,0.11,3.682,0.747
6,6,0.314,0.004,0.839,0.004,4.533,0.266,3.1,0.082,2.85,0.09
6,7,0.657,0.014,0.659,0.01,4.212,0.12,2.912,0.061,-4.438,0.163
6,8,0.439,0.006,0.57,0.005,5.471,0.129,5.014,0.024,4.371,0.711
6,9,0.562,0.01,0.189,0.014,5.114,0.18,3.943,0.133,2.972,0.675
12,0,0.582,0.005,0.121,0.013,10.206,0.152,7.472,0.237,1.594,0.263
12,1,0.447,0.005,0.658,0.007,8.567,0.262,6.8,0.143,4.4,1.223
12,2,0.717,0.008,-0.921,0.028,10.04,0.193,9.82,0.168,5.74,1.145
12,3,0.805,0.011,0.19,0.015,7.86,0.196,6.92,0.31,4.44,0.211
12,4,1.584,0.011,-0.478,0.016,7.329,0.177,5.4,0.152,-2.614,0.538
12,5,0.684,0.006,0.262,0.011,7.691,0.303,6.336,0.169,1.327,1.112
12,6,0.506,0.006,0.623,0.012,8.233,0.3,6.15,0.295,7.266,0.253
12,7,1.178,0.012,-0.061,0.019,5.975,0.266,4.812,0.08,-12.05,1.439
12,8,0.621,0.008,0.299,0.016,9.157,0.316,8.8,0.3,6.3,0.7
12,9,0.879,0.007,-0.588,0.032,8.5,0.179,7.514,0.163,5.2,0.885
