t,app,alert_window,model,TP,FN,FP,F1
6,app0,1,M1-00,0,18,6,0.0
6,app0,1,M1-01,1,17,3,0.091
6,app0,1,M1-02,0,18,9,0.0
6,app0,1,M1-03,4,14,9,0.258
6,app0,1,M1-04,3,15,7,0.214
6,app0,1,M1-05,1,17,4,0.087
6,app0,1,M1-06,1,17,8,0.074
6,app0,1,M1-07,2,16,8,0.143
6,app0,1,M1-08,1,17,2,0.095
6,app0,1,M1-09,3,15,8,0.207
6,app0,3,M1-00,1,17,3,0.091
6,app0,3,M1-01,1,17,3,0.091
6,app0,3,M1-02,1,17,7,0.077
6,app0,3,M1-03,3,15,10,0.194
6,app0,3,M1-04,4,14,6,0.286
6,app0,3,M1-05,1,17,4,0.087
6,app0,3,M1-06,1,17,7,0.077
6,app0,3,M1-07,2,16,7,0.148
6,app0,3,M1-08,1,17,1,0.1
6,app0,3,M1-09,2,16,9,0.138
6,app0,6,M1-00,1,17,3,0.091
6,app0,6,M1-01,1,17,3,0.091
6,app0,6,M1-02,1,17,7,0.077
6,app0,6,M1-03,4,14,6,0.286
6,app0,6,M1-04,4,14,5,0.296
6,app0,6,M1-05,2,16,3,0.174
6,app0,6,M1-06,1,17,7,0.077
6,app0,6,M1-07,2,16,5,0.16
6,app0,6,M1-08,1,17,1,0.1
6,app0,6,M1-09,3,15,5,0.231
6,app0,9,M1-00,2,16,2,0.182
6,app0,9,M1-01,2,16,2,0.182
6,app0,9,M1-02,2,16,5,0.16
6,app0,9,M1-03,5,13,5,0.357
6,app0,9,M1-04,5,13,3,0.385
6,app0,9,M1-05,3,15,2,0.261
6,app0,9,M1-06,2,16,5,0.16
6,app0,9,M1-07,3,15,4,0.24
6,app0,9,M1-08,1,17,1,0.1
6,app0,9,M1-09,3,15,5,0.231
6,app0,12,M1-00,2,16,2,0.182
6,app0,12,M1-01,2,16,2,0.182
6,app0,12,M1-02,2,16,5,0.16
6,app0,12,M1-03,6,12,3,0.444
6,app0,12,M1-04,5,13,3,0.385
6,app0,12,M1-05,3,15,2,0.261
6,app0,12,M1-06,2,16,5,0.16
6,app0,12,M1-07,3,15,4,0.24
6,app0,12,M1-08,1,17,1,0.1
6,app0,12,M1-09,3,15,4,0.24
6,app0,24,M1-00,3,15,1,0.273
6,app0,24,M1-01,3,15,1,0.273
6,app0,24,M1-02,3,15,2,0.261
6,app0,24,M1-03,6,12,2,0.462
6,app0,24,M1-04,6,12,1,0.48
6,app0,24,M1-05,4,14,1,0.348
6,app0,24,M1-06,3,15,3,0.25
6,app0,24,M1-07,4,14,3,0.32
6,app0,24,M1-08,2,16,0,0.2
6,app0,24,M1-09,4,14,2,0.333
6,app0,72,M1-00,3,15,0,0.286
6,app0,72,M1-01,3,15,0,0.286
6,app0,72,M1-02,3,15,1,0.273
6,app0,72,M1-03,6,12,1,0.48
6,app0,72,M1-04,6,12,0,0.5
6,app0,72,M1-05,4,14,0,0.364
6,app0,72,M1-06,3,15,2,0.261
6,app0,72,M1-07,4,14,2,0.333
6,app0,72,M1-08,2,16,0,0.2
6,app0,72,M1-09,4,14,1,0.348
6,app1,1,M1-00,0,18,6,0.0
6,app1,1,M1-01,1,17,3,0.091
6,app1,1,M1-02,0,18,9,0.0
6,app1,1,M1-03,4,14,9,0.258
6,app1,1,M1-04,3,15,7,0.214
6,app1,1,M1-05,1,17,4,0.087
6,app1,1,M1-06,1,17,8,0.074
6,app1,1,M1-07,2,16,8,0.143
6,app1,1,M1-08,1,17,2,0.095
6,app1,1,M1-09,3,15,8,0.207
6,app1,3,M1-00,1,17,3,0.091
6,app1,3,M1-01,1,17,3,0.091
6,app1,3,M1-02,1,17,7,0.077
6,app1,3,M1-03,4,14,8,0.267
6,app1,3,M1-04,4,14,5,0.296
6,app1,3,M1-05,1,17,4,0.087
6,app1,3,M1-06,1,17,6,0.08
6,app1,3,M1-07,2,16,5,0.16
6,app1,3,M1-08,1,17,1,0.1
6,app1,3,M1-09,3,15,6,0.222
6,app1,6,M1-00,1,17,3,0.091
6,app1,6,M1-01,1,17,3,0.091
6,app1,6,M1-02,1,17,6,0.08
6,app1,6,M1-03,4,14,4,0.308
6,app1,6,M1-04,4,14,3,0.32
6,app1,6,M1-05,2,16,3,0.174
6,app1,6,M1-06,1,17,6,0.08
6,app1,6,M1-07,2,16,5,0.16
6,app1,6,M1-08,1,17,1,0.1
6,app1,6,M1-09,3,15,3,0.25
6,app1,9,M1-00,2,16,2,0.182
6,app1,9,M1-01,2,16,2,0.182
6,app1,9,M1-02,2,16,4,0.167
6,app1,9,M1-03,5,13,2,0.4
6,app1,9,M1-04,5,13,2,0.4
6,app1,9,M1-05,3,15,2,0.261
6,app1,9,M1-06,2,16,4,0.167
6,app1,9,M1-07,3,15,4,0.24
6,app1,9,M1-08,1,17,1,0.1
6,app1,9,M1-09,3,15,2,0.261
6,app1,12,M1-00,2,16,2,0.182
6,app1,12,M1-01,2,16,2,0.182
6,app1,12,M1-02,2,16,3,0.174
6,app1,12,M1-03,6,12,1,0.48
6,app1,12,M1-04,5,13,1,0.417
6,app1,12,M1-05,3,15,2,0.261
6,app1,12,M1-06,2,16,4,0.167
6,app1,12,M1-07,3,15,4,0.24
6,app1,12,M1-08,1,17,1,0.1
6,app1,12,M1-09,3,15,2,0.261
6,app1,24,M1-00,3,15,0,0.286
6,app1,24,M1-01,3,15,0,0.286
6,app1,24,M1-02,3,15,1,0.273
6,app1,24,M1-03,6,12,1,0.48
6,app1,24,M1-04,6,12,0,0.5
6,app1,24,M1-05,4,14,0,0.364
6,app1,24,M1-06,3,15,2,0.261
6,app1,24,M1-07,4,14,2,0.333
6,app1,24,M1-08,2,16,0,0.2
6,app1,24,M1-09,4,14,1,0.348
6,app1,72,M1-00,3,15,0,0.286
6,app1,72,M1-01,3,15,0,0.286
6,app1,72,M1-02,3,15,1,0.273
6,app1,72,M1-03,6,12,1,0.48
6,app1,72,M1-04,6,12,0,0.5
6,app1,72,M1-05,4,14,0,0.364
6,app1,72,M1-06,3,15,2,0.261
6,app1,72,M1-07,4,14,2,0.333
6,app1,72,M1-08,2,16,0,0.2
6,app1,72,M1-09,4,14,1,0.348
6,app2,1,M1-00,14,4,7,0.718
6,app2,1,M1-01,14,4,6,0.737
6,app2,1,M1-02,13,5,11,0.619
6,app2,1,M1-03,17,1,7,0.81
6,app2,1,M1-04,14,4,9,0.683
6,app2,1,M1-05,14,4,7,0.718
6,app2,1,M1-06,11,7,9,0.579
6,app2,1,M1-07,14,4,7,0.718
6,app2,1,M1-08,11,7,7,0.611
6,app2,1,M1-09,15,3,7,0.75
6,app2,3,M1-00,14,4,6,0.737
6,app2,3,M1-01,14,4,6,0.737
6,app2,3,M1-02,13,5,9,0.65
6,app2,3,M1-03,17,1,6,0.829
6,app2,3,M1-04,15,3,7,0.75
6,app2,3,M1-05,14,4,7,0.718
6,app2,3,M1-06,11,7,8,0.595
6,app2,3,M1-07,15,3,5,0.789
6,app2,3,M1-08,11,7,7,0.611
6,app2,3,M1-09,16,2,5,0.821
6,app2,6,M1-00,14,4,6,0.737
6,app2,6,M1-01,14,4,6,0.737
6,app2,6,M1-02,13,5,8,0.667
6,app2,6,M1-03,17,1,4,0.872
6,app2,6,M1-04,15,3,5,0.789
6,app2,6,M1-05,15,3,5,0.789
6,app2,6,M1-06,11,7,8,0.595
6,app2,6,M1-07,15,3,5,0.789
6,app2,6,M1-08,11,7,7,0.611
6,app2,6,M1-09,16,2,3,0.865
6,app2,9,M1-00,14,4,5,0.757
6,app2,9,M1-01,14,4,5,0.757
6,app2,9,M1-02,13,5,7,0.684
6,app2,9,M1-03,17,1,2,0.919
6,app2,9,M1-04,15,3,4,0.811
6,app2,9,M1-05,15,3,4,0.811
6,app2,9,M1-06,11,7,7,0.611
6,app2,9,M1-07,15,3,4,0.811
6,app2,9,M1-08,11,7,7,0.611
6,app2,9,M1-09,16,2,2,0.889
6,app2,12,M1-00,14,4,5,0.757
6,app2,12,M1-01,14,4,5,0.757
6,app2,12,M1-02,13,5,6,0.703
6,app2,12,M1-03,17,1,1,0.944
6,app2,12,M1-04,15,3,3,0.833
6,app2,12,M1-05,15,3,4,0.811
6,app2,12,M1-06,11,7,7,0.611
6,app2,12,M1-07,15,3,4,0.811
6,app2,12,M1-08,11,7,7,0.611
6,app2,12,M1-09,16,2,2,0.889
6,app2,24,M1-00,14,4,3,0.8
6,app2,24,M1-01,14,4,3,0.8
6,app2,24,M1-02,13,5,4,0.743
6,app2,24,M1-03,17,1,1,0.944
6,app2,24,M1-04,15,3,2,0.857
6,app2,24,M1-05,15,3,2,0.857
6,app2,24,M1-06,11,7,5,0.647
6,app2,24,M1-07,15,3,2,0.857
6,app2,24,M1-08,11,7,6,0.629
6,app2,24,M1-09,16,2,1,0.914
6,app2,72,M1-00,14,4,3,0.8
6,app2,72,M1-01,14,4,3,0.8
6,app2,72,M1-02,13,5,4,0.743
6,app2,72,M1-03,17,1,1,0.944
6,app2,72,M1-04,15,3,2,0.857
6,app2,72,M1-05,15,3,2,0.857
6,app2,72,M1-06,11,7,5,0.647
6,app2,72,M1-07,15,3,2,0.857
6,app2,72,M1-08,11,7,6,0.629
6,app2,72,M1-09,16,2,1,0.914
6,app3,1,M1-00,14,4,7,0.718
6,app3,1,M1-01,14,4,6,0.737
6,app3,1,M1-02,13,5,11,0.619
6,app3,1,M1-03,17,1,7,0.81
6,app3,1,M1-04,14,4,9,0.683
6,app3,1,M1-05,14,4,7,0.718
6,app3,1,M1-06,11,7,9,0.579
6,app3,1,M1-07,14,4,7,0.718
6,app3,1,M1-08,11,7,7,0.611
6,app3,1,M1-09,15,3,7,0.75
6,app3,3,M1-00,14,4,6,0.737
6,app3,3,M1-01,14,4,6,0.737
6,app3,3,M1-02,13,5,9,0.65
6,app3,3,M1-03,17,1,6,0.829
6,app3,3,M1-04,15,3,7,0.75
6,app3,3,M1-05,14,4,7,0.718
6,app3,3,M1-06,11,7,9,0.579
6,app3,3,M1-07,14,4,7,0.718
6,app3,3,M1-08,11,7,7,0.611
6,app3,3,M1-09,15,3,7,0.75
6,app3,6,M1-00,14,4,6,0.737
6,app3,6,M1-01,14,4,6,0.737
6,app3,6,M1-02,13,5,9,0.65
6,app3,6,M1-03,17,1,6,0.829
6,app3,6,M1-04,15,3,7,0.75
6,app3,6,M1-05,15,3,5,0.789
6,app3,6,M1-06,11,7,9,0.579
6,app3,6,M1-07,15,3,5,0.789
6,app3,6,M1-08,11,7,7,0.611
6,app3,6,M1-09,16,2,5,0.821
6,app3,9,M1-00,14,4,5,0.757
6,app3,9,M1-01,14,4,5,0.757
6,app3,9,M1-02,13,5,8,0.667
6,app3,9,M1-03,17,1,5,0.85
6,app3,9,M1-04,15,3,5,0.789
6,app3,9,M1-05,15,3,4,0.811
6,app3,9,M1-06,11,7,7,0.611
6,app3,9,M1-07,15,3,4,0.811
6,app3,9,M1-08,11,7,7,0.611
6,app3,9,M1-09,16,2,4,0.842
6,app3,12,M1-00,14,4,5,0.757
6,app3,12,M1-01,14,4,5,0.757
6,app3,12,M1-02,13,5,7,0.684
6,app3,12,M1-03,17,1,3,0.895
6,app3,12,M1-04,15,3,5,0.789
6,app3,12,M1-05,15,3,4,0.811
6,app3,12,M1-06,11,7,7,0.611
6,app3,12,M1-07,15,3,4,0.811
6,app3,12,M1-08,11,7,7,0.611
6,app3,12,M1-09,16,2,4,0.842
6,app3,24,M1-00,14,4,4,0.778
6,app3,24,M1-01,14,4,4,0.778
6,app3,24,M1-02,13,5,5,0.722
6,app3,24,M1-03,17,1,2,0.919
6,app3,24,M1-04,15,3,3,0.833
6,app3,24,M1-05,15,3,3,0.833
6,app3,24,M1-06,11,7,6,0.629
6,app3,24,M1-07,15,3,3,0.833
6,app3,24,M1-08,11,7,6,0.629
6,app3,24,M1-09,16,2,2,0.889
6,app3,72,M1-00,14,4,3,0.8
6,app3,72,M1-01,14,4,3,0.8
6,app3,72,M1-02,13,5,4,0.743
6,app3,72,M1-03,17,1,1,0.944
6,app3,72,M1-04,15,3,2,0.857
6,app3,72,M1-05,15,3,2,0.857
6,app3,72,M1-06,11,7,5,0.647
6,app3,72,M1-07,15,3,2,0.857
6,app3,72,M1-08,11,7,6,0.629
6,app3,72,M1-09,16,2,1,0.914
12,app0,1,M1-00,0,18,10,0.0
12,app0,1,M1-01,0,18,8,0.0
12,app0,1,M1-02,0,18,5,0.0
12,app0,1,M1-03,0,18,7,0.0
12,app0,1,M1-04,0,18,8,0.0
12,app0,1,M1-05,0,18,8,0.0
12,app0,1,M1-06,0,18,7,0.0
12,app0,1,M1-07,0,18,6,0.0
12,app0,1,M1-08,0,18,7,0.0
12,app0,1,M1-09,2,16,7,0.148
