t,dataset,Average MAE,Average PE,Average O2P lag,Average O2T lag,Average ln10 lag
6,0,0.412,0.537,5.556,5.833,2.944
6,1,0.324,0.829,6.222,5.222,6.222
6,2,0.584,-0.189,5.0,5.0,8.6
6,3,0.57,0.56,5.2,5.4,5.2
6,4,1.022,0.355,4.857,3.143,5.429
6,5,0.531,0.549,5.909,4.636,14.091
6,6,0.354,0.817,5.5,4.0,14.667
6,7,0.761,0.59,4.625,3.875,-2.375
6,8,0.467,0.569,4.143,4.429,6.571
6,9,0.66,0.119,5.286,4.0,5.429
12,0,0.626,0.14,10.333,9.611,-5.5
12,1,0.497,0.603,10.667,9.222,7.111
12,2,0.742,-0.612,10.0,10.0,11.4
12,3,0.934,0.077,9.8,10.4,8.0
12,4,1.678,-0.534,9.0,6.714,8.0
12,5,0.745,0.226,10.0,8.818,11.636
12,6,0.535,0.612,9.333,8.0,10.0
12,7,1.25,-0.109,7.875,7.125,1.25
12,8,0.609,0.361,8.857,8.857,4.714
12,9,0.958,-0.387,8.429,7.286,3.571
