t,dataset,Average MAE,SE Average MAE (seeds),Average PE,SE Average PE (seeds),Average O2P lag,SE Average O2P lag (seeds),Average O2T lag,SE Average O2T lag (seeds),Average ln10 lag,SE Average ln10 lag (seeds)
6,0,0.342,0.004,0.603,0.006,4.806,0.202,3.883,0.189,-0.984,0.583
6,1,0.278,0.004,0.869,0.003,4.889,0.144,3.8,0.14,4.367,0.242
6,2,0.505,0.005,-0.171,0.021,5.4,0.141,4.98,0.137,1.66,1.843
6,3,0.479,0.008,0.597,0.011,3.94,0.139,3.48,0.086,2.04,0.215
6,4,0.938,0.018,0.384,0.016,3.872,0.153,2.8,0.131,1.843,0.488
6,5,0.45,0.005,0.595,0.008,5.064,0.199,3.545,0.145,3.691,0.536
6,6,0.298,0.003,0.858,0.002,4.467,0.312,3.117,0.163,3.583,0.208
6,7,0.673,0.013,0.648,0.01,3.475,0.291,2.638,0.118,-4.912,0.433
6,8,0.415,0.004,0.597,0.003,4.928,0.139,4.714,0.057,1.186,0.339
6,9,0.542,0.014,0.213,0.015,4.457,0.172,3.557,0.162,1.786,0.516
12,0,0.57,0.007,0.169,0.017,9.633,0.18,7.294,0.18,1.794,0.768
12,1,0.438,0.005,0.665,0.007,9.056,0.263,6.978,0.215,9.133,0.25
12,2,0.721,0.01,-0.873,0.031,10.1,0.223,9.8,0.152,2.6,0.831
12,3,0.798,0.014,0.152,0.022,7.56,0.336,7.02,0.272,5.66,0.404
12,4,1.601,0.014,-0.519,0.028,7.343,0.305,5.7,0.23,-0.957,1.149
12,5,0.664,0.005,0.282,0.01,8.082,0.275,6.318,0.195,6.909,0.877
12,6,0.477,0.007,0.655,0.009,7.333,0.389,5.35,0.321,7.367,0.289
12,7,1.174,0.012,-0.042,0.019,6.312,0.221,4.862,0.065,-12.812,1.27
12,8,0.609,0.01,0.304,0.02,9.029,0.163,8.686,0.131,4.429,0.244
12,9,0.892,0.011,-0.543,0.041,9.072,0.238,7.843,0.202,5.714,0.622
