t,dataset,Average MAE,SE Average MAE (seeds),Average PE,SE Average PE (seeds),Average O2P lag,SE Average O2P lag (seeds),Average O2T lag,SE Average O2T lag (seeds),Average ln10 lag,SE Average ln10 lag (seeds)
6,0,0.334,0.004,0.607,0.006,5.033,0.109,3.661,0.083,-1.089,0.279
6,1,0.285,0.005,0.862,0.004,4.833,0.195,3.989,0.124,4.444,0.345
6,2,0.506,0.004,-0.157,0.011,5.68,0.051,5.2,0.057,2.78,0.189
6,3,0.464,0.007,0.62,0.007,3.92,0.15,3.38,0.108,2.0,0.155
6,4,0.881,0.013,0.43,0.01,3.872,0.139,2.643,0.111,1.186,0.697
6,5,0.447,0.002,0.601,0.004,5.118,0.142,3.727,0.121,3.745,0.377
6,6,0.296,0.002,0.859,0.002,4.5,0.314,3.083,0.111,3.633,0.166
6,7,0.634,0.018,0.669,0.015,3.338,0.339,2.55,0.139,-5.462,1.265
6,8,0.415,0.006,0.594,0.007,5.257,0.11,4.943,0.041,2.014,0.145
6,9,0.556,0.009,0.188,0.014,5.029,0.14,3.929,0.149,3.5,0.14
12,0,0.559,0.003,0.178,0.009,9.489,0.191,7.006,0.21,2.822,0.522
12,1,0.456,0.01,0.655,0.007,8.733,0.133,7.055,0.157,9.167,0.994
12,2,0.726,0.01,-0.906,0.039,9.88,0.208,9.5,0.168,4.38,1.449
12,3,0.787,0.011,0.185,0.024,6.98,0.489,6.64,0.462,4.44,0.389
12,4,1.562,0.018,-0.453,0.028,7.043,0.207,5.514,0.12,-1.257,0.899
12,5,0.671,0.006,0.268,0.011,8.255,0.162,6.8,0.162,6.645,0.692
12,6,0.487,0.004,0.642,0.007,7.817,0.557,6.35,0.425,7.417,0.379
12,7,1.128,0.015,0.009,0.018,6.125,0.222,4.938,0.112,-10.562,1.358
12,8,0.596,0.007,0.333,0.012,9.157,0.233,8.886,0.192,5.043,0.511
12,9,0.858,0.009,-0.502,0.029,8.614,0.28,7.171,0.216,5.571,0.974
