t,app,alert_window,model,TP,FN,FP,F1
6,app0,1,M1-00,1,17,3,0.091
6,app0,1,M1-01,1,17,4,0.087
6,app0,1,M1-02,0,18,3,0.0
6,app0,1,M1-03,0,18,6,0.0
6,app0,1,M1-04,1,17,2,0.095
6,app0,3,M1-00,1,17,3,0.091
6,app0,3,M1-01,1,17,3,0.091
6,app0,3,M1-02,1,17,2,0.095
6,app0,3,M1-03,1,17,3,0.091
6,app0,3,M1-04,1,17,2,0.095
6,app0,6,M1-00,1,17,3,0.091
6,app0,6,M1-01,1,17,3,0.091
6,app0,6,M1-02,1,17,2,0.095
6,app0,6,M1-03,1,17,3,0.091
6,app0,6,M1-04,1,17,2,0.095
6,app0,9,M1-00,2,16,2,0.182
6,app0,9,M1-01,2,16,2,0.182
6,app0,9,M1-02,1,17,2,0.095
6,app0,9,M1-03,1,17,3,0.091
6,app0,9,M1-04,1,17,2,0.095
6,app0,12,M1-00,2,16,2,0.182
6,app0,12,M1-01,2,16,2,0.182
6,app0,12,M1-02,1,17,2,0.095
6,app0,12,M1-03,1,17,3,0.091
6,app0,12,M1-04,1,17,2,0.095
6,app0,24,M1-00,2,16,1,0.19
6,app0,24,M1-01,3,15,1,0.273
6,app0,24,M1-02,1,17,1,0.1
6,app0,24,M1-03,1,17,3,0.091
6,app0,24,M1-04,1,17,1,0.1
6,app0,72,M1-00,3,15,0,0.286
6,app0,72,M1-01,3,15,0,0.286
6,app0,72,M1-02,2,16,0,0.2
6,app0,72,M1-03,2,16,1,0.19
6,app0,72,M1-04,2,16,0,0.2
6,app1,1,M1-00,1,17,3,0.091
6,app1,1,M1-01,1,17,4,0.087
6,app1,1,M1-02,0,18,3,0.0
6,app1,1,M1-03,0,18,6,0.0
6,app1,1,M1-04,1,17,2,0.095
6,app1,3,M1-00,1,17,3,0.091
6,app1,3,M1-01,1,17,3,0.091
6,app1,3,M1-02,1,17,2,0.095
6,app1,3,M1-03,1,17,3,0.091
6,app1,3,M1-04,1,17,2,0.095
6,app1,6,M1-00,1,17,3,0.091
6,app1,6,M1-01,1,17,3,0.091
6,app1,6,M1-02,1,17,2,0.095
6,app1,6,M1-03,1,17,3,0.091
6,app1,6,M1-04,1,17,2,0.095
6,app1,9,M1-00,2,16,2,0.182
6,app1,9,M1-01,2,16,2,0.182
6,app1,9,M1-02,1,17,2,0.095
6,app1,9,M1-03,1,17,3,0.091
6,app1,9,M1-04,1,17,2,0.095
6,app1,12,M1-00,2,16,2,0.182
6,app1,12,M1-01,2,16,2,0.182
6,app1,12,M1-02,1,17,2,0.095
6,app1,12,M1-03,1,17,3,0.091
6,app1,12,M1-04,1,17,2,0.095
6,app1,24,M1-00,2,16,1,0.19
6,app1,24,M1-01,3,15,0,0.286
6,app1,24,M1-02,1,17,1,0.1
6,app1,24,M1-03,1,17,2,0.095
6,app1,24,M1-04,1,17,1,0.1
6,app1,72,M1-00,3,15,0,0.286
6,app1,72,M1-01,3,15,0,0.286
6,app1,72,M1-02,2,16,0,0.2
6,app1,72,M1-03,2,16,1,0.19
6,app1,72,M1-04,2,16,0,0.2
6,app2,1,M1-00,13,5,7,0.684
6,app2,1,M1-01,11,7,8,0.595
6,app2,1,M1-02,12,6,8,0.632
6,app2,1,M1-03,11,7,9,0.579
6,app2,1,M1-04,11,7,8,0.595
6,app2,3,M1-00,13,5,7,0.684
6,app2,3,M1-01,11,7,8,0.595
6,app2,3,M1-02,12,6,7,0.649
6,app2,3,M1-03,11,7,8,0.595
6,app2,3,M1-04,11,7,8,0.595
6,app2,6,M1-00,13,5,7,0.684
6,app2,6,M1-01,11,7,8,0.595
6,app2,6,M1-02,12,6,7,0.649
6,app2,6,M1-03,11,7,8,0.595
6,app2,6,M1-04,11,7,8,0.595
6,app2,9,M1-00,13,5,6,0.703
6,app2,9,M1-01,11,7,7,0.611
6,app2,9,M1-02,12,6,7,0.649
6,app2,9,M1-03,11,7,8,0.595
6,app2,9,M1-04,11,7,8,0.595
6,app2,12,M1-00,13,5,6,0.703
6,app2,12,M1-01,11,7,7,0.611
6,app2,12,M1-02,12,6,7,0.649
6,app2,12,M1-03,11,7,8,0.595
6,app2,12,M1-04,11,7,8,0.595
6,app2,24,M1-00,13,5,5,0.722
6,app2,24,M1-01,11,7,5,0.647
6,app2,24,M1-02,12,6,6,0.667
6,app2,24,M1-03,11,7,7,0.611
6,app2,24,M1-04,11,7,7,0.611
6,app2,72,M1-00,14,4,3,0.8
6,app2,72,M1-01,11,7,5,0.647
6,app2,72,M1-02,12,6,5,0.686
6,app2,72,M1-03,12,6,5,0.686
6,app2,72,M1-04,12,6,5,0.686
6,app3,1,M1-00,13,5,7,0.684
6,app3,1,M1-01,11,7,8,0.595
6,app3,1,M1-02,12,6,8,0.632
6,app3,1,M1-03,11,7,9,0.579
6,app3,1,M1-04,11,7,8,0.595
6,app3,3,M1-00,13,5,7,0.684
6,app3,3,M1-01,11,7,8,0.595
6,app3,3,M1-02,12,6,7,0.649
6,app3,3,M1-03,11,7,8,0.595
6,app3,3,M1-04,11,7,8,0.595
6,app3,6,M1-00,13,5,7,0.684
6,app3,6,M1-01,11,7,8,0.595
6,app3,6,M1-02,12,6,7,0.649
6,app3,6,M1-03,11,7,8,0.595
6,app3,6,M1-04,11,7,8,0.595
6,app3,9,M1-00,13,5,6,0.703
6,app3,9,M1-01,11,7,7,0.611
6,app3,9,M1-02,12,6,7,0.649
6,app3,9,M1-03,11,7,8,0.595
6,app3,9,M1-04,11,7,8,0.595
6,app3,12,M1-00,13,5,6,0.703
6,app3,12,M1-01,11,7,7,0.611
6,app3,12,M1-02,12,6,7,0.649
6,app3,12,M1-03,11,7,8,0.595
6,app3,12,M1-04,11,7,8,0.595
6,app3,24,M1-00,13,5,5,0.722
6,app3,24,M1-01,11,7,6,0.629
6,app3,24,M1-02,12,6,6,0.667
6,app3,24,M1-03,11,7,7,0.611
6,app3,24,M1-04,11,7,7,0.611
6,app3,72,M1-00,14,4,3,0.8
6,app3,72,M1-01,11,7,5,0.647
6,app3,72,M1-02,12,6,5,0.686
6,app3,72,M1-03,12,6,5,0.686
6,app3,72,M1-04,12,6,5,0.686
12,app0,1,M1-00,1,17,8,0.074
12,app0,1,M1-01,0,18,6,0.0
12,app0,1,M1-02,1,17,7,0.077
12,app0,1,M1-03,0,18,6,0.0
12,app0,1,M1-04,0,18,6,0.0
12,app0,3,M1-00,1,17,8,0.074
12,app0,3,M1-01,1,17,5,0.083
12,app0,3,M1-02,2,16,6,0.154
12,app0,3,M1-03,0,18,6,0.0
12,app0,3,M1-04,1,17,5,0.083
12,app0,6,M1-00,1,17,7,0.077
12,app0,6,M1-01,1,17,5,0.083
12,app0,6,M1-02,2,16,5,0.16
12,app0,6,M1-03,0,18,5,0.0
12,app0,6,M1-04,1,17,5,0.083
12,app0,9,M1-00,2,16,5,0.16
12,app0,9,M1-01,1,17,5,0.083
12,app0,9,M1-02,4,14,3,0.32
12,app0,9,M1-03,0,18,5,0.0
12,app0,9,M1-04,2,16,3,0.174
12,app0,12,M1-00,1,17,6,0.08
12,app0,12,M1-01,1,17,4,0.087
12,app0,12,M1-02,4,14,2,0.333
12,app0,12,M1-03,1,17,4,0.087
12,app0,12,M1-04,2,16,2,0.182
12,app0,24,M1-00,1,17,4,0.087
12,app0,24,M1-01,1,17,3,0.091
12,app0,24,M1-02,4,14,1,0.348
12,app0,24,M1-03,2,16,3,0.174
12,app0,24,M1-04,2,16,2,0.182
12,app0,72,M1-00,2,16,0,0.2
12,app0,72,M1-01,2,16,2,0.182
12,app0,72,M1-02,4,14,0,0.364
12,app0,72,M1-03,2,16,2,0.182
12,app0,72,M1-04,2,16,1,0.19
12,app1,1,M1-00,1,17,8,0.074
12,app1,1,M1-01,0,18,6,0.0
12,app1,1,M1-02,1,17,7,0.077
12,app1,1,M1-03,0,18,6,0.0
12,app1,1,M1-04,0,18,6,0.0
12,app1,3,M1-00,2,16,5,0.16
12,app1,3,M1-01,1,17,5,0.083
12,app1,3,M1-02,2,16,5,0.16
12,app1,3,M1-03,0,18,5,0.0
12,app1,3,M1-04,1,17,5,0.083
12,app1,6,M1-00,2,16,0,0.2
12,app1,6,M1-01,1,17,5,0.083
12,app1,6,M1-02,2,16,3,0.174
12,app1,6,M1-03,0,18,5,0.0
