t,app,alert_window,model,TP,FN,FP,F1
6,app0,1,linear,1,17,7,0.077
6,app0,3,linear,2,16,6,0.154
6,app0,6,linear,2,16,4,0.167
6,app0,9,linear,2,16,4,0.167
6,app0,12,linear,2,16,4,0.167
6,app0,24,linear,4,14,1,0.348
6,app0,72,linear,4,14,0,0.364
6,app1,1,linear,1,17,7,0.077
6,app1,3,linear,2,16,3,0.174
6,app1,6,linear,2,16,3,0.174
6,app1,9,linear,2,16,3,0.174
6,app1,12,linear,2,16,3,0.174
6,app1,24,linear,4,14,0,0.364
6,app1,72,linear,4,14,0,0.364
6,app2,1,linear,8,10,9,0.457
6,app2,3,linear,8,10,7,0.485
6,app2,6,linear,8,10,7,0.485
6,app2,9,linear,8,10,7,0.485
6,app2,12,linear,8,10,7,0.485
6,app2,24,linear,9,9,4,0.581
6,app2,72,linear,9,9,4,0.581
6,app3,1,linear,8,10,9,0.457
6,app3,3,linear,8,10,8,0.471
6,app3,6,linear,8,10,8,0.471
6,app3,9,linear,8,10,7,0.485
6,app3,12,linear,8,10,7,0.485
6,app3,24,linear,9,9,5,0.562
6,app3,72,linear,9,9,4,0.581
12,app0,1,linear,0,18,6,0.0
12,app0,3,linear,0,18,6,0.0
12,app0,6,linear,0,18,6,0.0
12,app0,9,linear,1,17,5,0.083
12,app0,12,linear,2,16,4,0.167
12,app0,24,linear,3,15,3,0.25
12,app0,72,linear,3,15,2,0.261
12,app1,1,linear,0,18,6,0.0
12,app1,3,linear,0,18,6,0.0
12,app1,6,linear,0,18,6,0.0
12,app1,9,linear,1,17,5,0.083
12,app1,12,linear,2,16,4,0.167
12,app1,24,linear,3,15,2,0.261
12,app1,72,linear,3,15,2,0.261
12,app2,1,linear,12,6,7,0.649
12,app2,3,linear,12,6,7,0.649
12,app2,6,linear,12,6,7,0.649
12,app2,9,linear,13,5,5,0.722
12,app2,12,linear,13,5,4,0.743
12,app2,24,linear,13,5,2,0.788
12,app2,72,linear,13,5,2,0.788
12,app3,1,linear,12,6,7,0.649
12,app3,3,linear,12,6,7,0.649
12,app3,6,linear,12,6,7,0.649
12,app3,9,linear,13,5,5,0.722
12,app3,12,linear,13,5,4,0.743
12,app3,24,linear,12,6,4,0.706
12,app3,72,linear,13,5,2,0.788
