,Onset Timestamp,Onset Flux,Threshold Timestamp,Threshold Flux,Peak Timestamp,Peak Flux,End Timestamp,End Flux,Storm Duration
0,1997-11-04 06:00:00,0.06602071776855245,1997-11-04 08:00:00,16.45393436486206,1997-11-04 09:00:00,65.4054384028109,1997-11-05 20:00:00,1.9680642333851233,1 days 14:00:00
1,1997-11-06 12:00:00,0.8527805227082106,1997-11-06 15:00:00,15.47379445360901,1997-11-07 00:00:00,265.17737763914806,1997-11-09 21:00:00,1.973644225432107,3 days 09:00:00
2,1998-04-20 11:00:00,0.026763512800647697,1998-04-20 15:00:00,10.10885085418991,1998-04-21 10:00:00,541.485781340703,1998-04-25 11:00:00,1.911519467098758,5 days 00:00:00
3,1998-05-02 14:00:00,0.14254345123515633,1998-05-02 16:00:00,17.901953520099877,1998-05-02 19:00:00,22.527647510840637,1998-05-04 03:00:00,1.698665859478445,1 days 13:00:00
4,1998-05-06 07:00:00,0.19668152118256899,1998-05-06 09:00:00,200.27567041593164,1998-05-06 09:00:00,200.27567041593164,1998-05-07 06:00:00,1.8436060093374023,0 days 23:00:00
5,1998-11-14 05:00:00,0.007491934257740668,1998-11-14 08:00:00,15.64985367422324,1998-11-14 13:00:00,119.72323846982519,1998-11-21 16:00:00,0.012629668252323645,7 days 11:00:00
6,1999-04-24 14:00:00,0.014742013729279775,1999-04-24 20:00:00,11.409315082766732,1999-04-25 01:00:00,17.58536170330839,1999-04-25 22:00:00,1.9706498835150537,1 days 08:00:00
7,1999-06-01 21:00:00,0.5287861535988776,1999-06-02 04:00:00,14.207383923597574,1999-06-02 06:00:00,40.824944808428725,1999-06-04 05:00:00,1.9946492798762765,2 days 08:00:00
8,1999-06-04 07:00:00,1.681258828638958,1999-06-04 09:00:00,15.806102262640731,1999-06-04 11:00:00,42.120863732251294,1999-06-06 06:00:00,1.944768629094301,1 days 23:00:00
9,2000-02-18 10:00:00,0.5420374013835423,2000-02-18 12:00:00,12.002117504223367,2000-02-18 12:00:00,12.002117504223367,2000-02-18 20:00:00,1.8108014171529956,0 days 10:00:00
10,2000-04-04 17:00:00,0.24369498734509723,2000-04-04 23:00:00,11.053569656955911,2000-04-05 06:00:00,21.678294691072303,2000-04-05 14:00:00,0.8785651614041328,0 days 21:00:00
11,2000-06-08 10:00:00,1.30443332054233,2000-06-10 18:00:00,102.31802174046884,2000-06-10 18:00:00,102.31802174046884,2000-06-11 14:00:00,1.8569276891496242,3 days 04:00:00
12,2000-07-13 23:00:00,0.04950731872712533,2000-07-14 11:00:00,30.932151961410618,2000-07-15 10:00:00,2132.8714001878006,2000-07-20 11:00:00,1.6633309099815832,6 days 12:00:00
14,2000-07-22 12:00:00,1.5645641024988066,2000-07-22 14:00:00,10.62588615669444,2000-07-22 14:00:00,10.62588615669444,2000-07-23 01:00:00,1.9908037482420942,0 days 13:00:00
15,2000-07-28 06:00:00,1.5539056535340232,2000-07-28 08:00:00,13.273991350586368,2000-07-28 11:00:00,18.007793052144848,2000-07-28 14:00:00,1.546406863988163,0 days 08:00:00
16,2000-09-12 14:00:00,0.4069139828759248,2000-09-12 16:00:00,10.135007799186623,2000-09-13 03:00:00,229.001800706098,2000-09-16 00:00:00,1.9291842409884117,3 days 10:00:00
17,2000-10-16 07:00:00,0.016139748636258885,2000-10-16 14:00:00,10.041329136556167,2000-10-16 15:00:00,10.553814564632269,2000-10-17 21:00:00,1.9332222108816546,1 days 14:00:00
18,2000-10-25 15:00:00,1.092438197231687,2000-10-26 02:00:00,10.151310228168386,2000-10-26 02:00:00,10.151310228168386,2000-10-26 13:00:00,1.868549076443446,0 days 22:00:00
19,2000-11-08 22:00:00,0.0004311881561036802,2000-11-09 00:00:00,864.4239504697515,2000-11-09 18:00:00,2052.5999101938423,2000-11-15 06:00:00,1.9934935262887938,6 days 08:00:00
20,2000-11-11 10:00:00,7.038617984747175,2000-11-11 14:00:00,11.000523970700243,2000-11-11 20:00:00,12.82123771894321,2000-11-15 06:00:00,1.9934935262887938,3 days 20:00:00
21,2000-11-24 07:00:00,1.1539370832172486,2000-11-24 14:00:00,10.890496377874165,2000-11-24 18:00:00,51.02516765089068,2000-11-29 16:00:00,1.8826536069635371,5 days 09:00:00
